	micha-ii-48	fr111-ii-48	sommer--ii-48	lanzarote-ii-48	inc-ii-48	fr751-ii-48	lancellotto-ii-48
127	que vos me demandastes n’a encor gaires. — 	que uous me demandastes. dictes fait il. 	que vous me denmandastes. |ore le me dites 	que me preguntastes seguramente |Pues deçidmelo dixo boores 	que uous mauez demande.	que uos me demandates na gaires. 	che voi mi domandaste. 
128	Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	par foy fait elle moy et ung cheualier 	dont fait bohors. |Par foy sire fait elle entre moi et. i. cheualier 	asi es dixo la donçella que oy mañana entre mi |e vn cauallero 	Par ma foy fait elle moy et ung cheualier 	Dites dont damoisele fait il. |SIre fait ele par foi entre moi et .i. cheualier 	— Dite, diss’elli. |— laPer fé, diss’ella, intra me e uno cavaliere 
129	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez	qui mes amis estoit cheualchiemes parmi chest chastel. 	que hera mi amigo pasamos poreste castillo 	qui mon amy estoit cheuauchions parmi cest chasteau. 	qui mes amis estoit. cheuauchiens hui matin parmi cest chastelet illuec.	che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 
130	et quant li freres a celui 	Et quant le frere a celuy 	Et quant li freres a celui 	e quando el señor del castillo hermano de aquel 	Et quant le frere de celui 	et quant li freres a celui 	e quando il fratello di colui 
131|132	que vos avés abatu me vit, |si me volt a force prendre, 	quie uous auez ores abatu |me uit. |si me uoult prendre a force 	qui vous aues abatu me uit. |si me volt auoir |et prendre par force 	que vos derribastes me vido quisome prender afuerça 	que uous auez abatu me uist |si me uoulut auoir |et prendre a force: 	que uos aues ore abatu: |me uit. |Si me uot a force prandre. 	che voi avete ora abatuto mi vide, |si mi volle a forza prendere, 
133|134	kar il m’avoit molt longuement amee; |si me prist al frain 	car il mauoit longuement amee|si me prist au fraing 	quar il mauoit lonc tamps amee. |Si me prist au frain 	e trabo del freno demi palafren 	car il me auoit longuement aymee. Il print mon cheual et men uoulut mener a force: 	Car il mauoit mout longuement amee. |Si me prist 	ché m’avea lungamente amato; |simmi prese al freno 
135	et m’en volt mener a force, mes mes amis se combati a lui 	et me uoult mener a force |mais mon amy se combaty a luy 	et men volt mener a force. |Mais mes anis se combati a lui tant	e quisome llebar |e me vido mi amigo llebar 	mais mon amy se combatist a lui	et me uost mener a force |si tost	e mi volle menare a forza, |ma mio amico si combatté tanto a-llui 
136|137	tant |qu’il l’ocist. 	si loccist. 	quil locist. 	conbatiose conel tanto 	tant qu il loccist. 	comme il me tint au fraing. |Mais mes amis se combati a lui tant |que il locit. 	che-ll’ucise. 
138|139	Et|quant cist 	Et quant celuy 	Et quant chils cheualiers 	quelo mato 	Et quant celui 	et quant ciz 	ME quando questo 
140|141|142	que vos veez ci ore vit son frere mort, |si fist mon ami prendre a force de vilains et de gens |et l’ocist en venjance de son frere. 	que uous auez ores cy abatu uit son frere mort |si fist prendre mon amy a force de uilanis et de gens. |si loccist on uengence de son 	que vous uees chi vit son frere mort. |si fist mon ami prendre par force de vilains. et locist por uengance de son frere 	e quando aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente e de villanos |e matolo en enmienda dela muerte desu hermano 	que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens et de uillains/ |et loccist en uengance de son frere 	que uos ueez ore ci uit son frere mort : |si fist mon ami prandre a force de uilains et de gent. |Et locit en la uangence de son frere. 	che voi avete qui ora abatuto vide suo fratello morto, |si fece mio amico prendere a forza di villani e di genti, |e l’uccise in vendicanza di suo fratello.
143|144|145	Mais de moi, |por cui Ses freres avoit esté ocis, dist il |qu’il se vengeroit sans main metre;	frere.Mais il dist |quil se uangeroit de moy |pour|qui son frere auoit este occis sans main mectre 	quil auoit ochis. |Et dist |quil se vengeroit de moi |sans main metre. 	e dixo |que demi se vengaria el seguramente porque fui ocasion dela muerte de su hermano entonçe 	et dist|quil se uengeroit de moy sans main mettre. 	mais de moi p̾ |cui ses freres auoit este ocis dist il |quil sen uangeroit sans main mestre. 	Ma di me, |per cui suo fratello avea stato morto, diss’elli |che-ssi vendicherebbe sanza in me mettere mano, 
146	si me fist prendre a ces ribaus 	si me fist prendre a ces quatre ribaux 	et me fist tantost prendre a ches. iiij. ribaus 	fiço tomar aquellos quatro villanos 	Si me fist prendre par ces quatre ribaulx 	Si me fist prandre a ses .iiii. uilains 	si mi fece prendere a nfino a tre l rubaldi 
147	que vos veistes 	qui uous ueistes 	que vous ueistes ore. 	que vos vistes 	que uous auez ueu 	que uos ueistes 	che vo' vedeste 
148	et lor commanda 	et leur commanda 	et lor commanda 	e mandoles 	et leur commanda 	si lor coumanda 	e loro comandò 
149	qu’il me noiaissent, « 	quilz me noyassent. 	quil me noiassent. 	que me matasen en aquel agua 	quilz me noyassent/ 	quil me noiassent. 	
150|151	kar par armes, dist il, |ne vueil je mie 	Car par armes fist il ne uueil ie pas 	Car par armes dist il ne voeil iou mie 	ca por armas no me queria matar 	car par armes ne uueil ie pas 	Car par hommes ne uoeil ge gaie fait il quele morit.	che m’anegassono, ché per mano di persona, diss’elli, non voglio 
152|153|154	qu’ele muire » ; |si m'enmenoient, |si com vos veistes, morir 	quelle meure. |si me menoient pour mourir ainsi |comme uous ueistes 	que elle muire. |Si me menoient ensi |com vous ueistes por noier 	e ellos me mataran sin falta 	que elle meure.|Si me emmenoient ainsi |comment uous auez ueu pour noyer 	Si [cum] amenerent ainsi |com uos ueistes [raqrir] 	ch’ella muoia». i-mmi menavano, |insi come vo vedeste, |per fare morire, 
155|156|157|158|159	quant vos me venistes secorre par la volenté de Dieu et par la vostre. |Or vos ai conté mon errement ; |si voldroie des Ore mes, |se vostre plaisirs estoit, |que vos me menissois a salveté en un mien chastel 	quant uous me uenistes secourir. par la uoulente de dieu et par la uostre|Or uous ay tout comte mon criement. |si uoudroye desormais |si uostre plaisir estoit |que uous me menez a sauuete en ung mien chastel 	quant vous me uenistes rescorre par la volente de dieu et la vostre. vous ai conte mon errement |si volroie |se vostre volentes y estoit|que vous me metissies a sauuete. En vn mien castel 	si vos porla voluntad de dios |e porla vuestra no me acorrierades agora vos |e contado todo mi acaesçimiento |como me contesçio e querria que me llebasedes a vn mi castillo 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre.|Or uous ay toute compte ma fortune/ |si uouldroie se uostre uoulente y estoit |que uous me menissez a sauuete en ung mien chasteau	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. Sire fait la damoisele a beħ. |Or uous ai conte mon errement. |Si uorroie desormais se uostres [puisses] estoit : |que uos me menissiez a sauuete en .i. mien chastel 	quando vo mi veniste a soccorrere per la volontà di Dio e della vostra. |Or vo ho contato tutta mia ventura, |si vo vorre' da oggimai, |se vostro piacere fosse, pregare |che vo' mi conduceste a salvamento in uno mio castello 
160|161	qui est ci pres. — Volentiers », fet il. |Si le prent par les bras 	qui est cy pres. uoulentiers fait il |si la prent par les braz 	qui est pres de chi. volentiers fait il |et il le prent maintenant par les bras 	que es çerca de aqui |si vos plaze 	qui est cy pres. Voulentiers dit il. |et il la prent par le bras 	qui est ci pres. uolentiers damoisele Sire a si la prent par le bras 	ch’è qui presso. |— Volentier. disse elli». |Si-lla prende per lo braccio 
162	et le monte par devant lui sor le col de son cheval, 	et la monte deuant soy sur le col de son cheual. 	et le met sor le col de son cheual.	de GraDo dixo boores |e luego echo su escudo alas espaldas 	et puis la met sur le col de son cheual/	et la mest deuant lui sur le col de son cheual. 	e la monta davanti a sé sopra il corpo di suo cavallo, 
163	si a geté son escu derieres son dos, 	si a gecte son escu derriere son dos. 	et met son escu derriere son dos. 	e tomola Porel braço |e pusola antesi Ensu caballo 	si a iecte son escu derrier son dos: 	Si ageste erranmet son escu derier son dos.	si getta suo scudo di dietro suo dosso, 
164	si s’en vet cele part 	et sen uait celle part 	si sen torne cele part	e fuese ansi conella 	et puis tourne celle part la 	Si sen ua cele part 	si se ne va in quelle parti 
165|166	ou la damoisele li enseigne tant |que ce vint aprés midi 	ou la damoisele luy enseigne. |tant que ce uient apres medoy 	ou la damoisele lenseigne |Tant que chou vint apres miedi 	por do ella lo yria guiando fasta medio dia 	ou la damoiselle lui enseigne tant |que uint aprez midy	ou la damoisele li ensangne. |Si cheuaucherent|ainsi |tant |que ce uint apres midi. 	ove la damigella gli 'nsegna, |tanto che ciò venne apresso di mezodi 
167	qu’il voient en un tertre I. bel a chastel, 	quilz uoyent deuant eulx en ung tertre |ung meoult bel chastel	que il virent deuant euls vn moult bel castel. 	Que vieron vn muy fermoso castillo 	que ilz uirent deuant eulx ung moult beau chasteau: 	et lors uirent deuant aux en lor chemin .i. |tertre.Ou il auoit .i. tres bel chastel. et	che vegono davanti loro, in uno poggio, uno castello molto bello. 
168|169	et lors ataignent Il. escuiers|qui issoient d’un bossel 	et lors actaignent deux escuiers |qui yssoient dung boys 	Et lors ataingnent. ij. escuiers a lentree dun boskel 	e alcançaron dos escuderos ala salida devn monteçillo 	et lors attaignent deux escuiers a lentree de ung petit boix 	lors ataignent .ii. escuiers |qui issoient dun boschet. 	Allora agiungono due scudieri |che uscivano d’uno boschello 
170	et aportoit chescuns venoisons trosee detriers soi.	et chascun aportoit uenoison troussee derriere soy. 	et portoit cascuns venison torsee derriere lui. 	que traia cada vno vn corço atroxado trassi 	et portoit chacun uenoisen derrier lui troussee. 	et aportoit chascuns uenison trossee douant soi. 	e aportavano amenduni cacciagione torsata di dietro a llui. 
171|172	Quant il virent la damoisele, |si descendent a pié 	Et quant ilz uirent la damoisele |si descendirent a pie 	Et|quant il voient la damfolisele |si descendent a pie 	e desque vieron la donçella desçendieron apie 	Et quant ilz uirent la damoiselle ilz descendirent a pie 	et quant il uirent la damoisele |qui beh̾ auoit deuant luy |si sont dessendu a pie 	E|quand’e' vidono la damigella, |si discenderono immantanente a ppiè 
173	et li font grant joie com a celi 	et luy font moult grant ioye comme a celle 	et li font si grant ioie comme a celui 	e fueron e fezieron gran alegria conella 	et lui firent si grant henneur et si grant ioye comme a celle 	et li font la plus grant ioie dou monde a cele 	e gli fanno grande gioia |come a colei 
174|175	qui lor dame estoit |mais molt se merveillent de ce 	qui leur dame estoit. |mais moult se merueillent de ce 	qui lor dame estoit. |mais moult sesmerueillent de ce 	como aquella que hera su señora mas mucho se marauillaron 	qui leur dame estoit: |mais moult se merueillent de ce	qui leur lige dame estoit |Mais mout se merueillent 	che loro dama era, |ma molto si maravigliarono di ciò 
176	qu’il la virent plorer: 	quilz la uirent plourer. 	quil la voient plorer. 	porque la vian ansi venir 	qu ilz la uoient plourer: 	quant il la uirent si plorer. 	che lla vidono impiagnendo. 
177	si li enquierent 	si luy enquierent 	si li demandent 	e preguntaronla 	si demandent 	et plus de son ami |que il ne uerent pas mandent 	Si-lla inchiesono 
178	que ele a. 	quelle a. 	que elle a. 	que auia 	que elle a. 	que ele a. 	ch’ell’avea, 
179|180|181|182	Et ele lor dit |comment ses amis avoit esté ocis, «|et je meismes euisse esté morte. |se ne fust cis frans chevaliers	et elle leur comte comme son amy auoit este occis. |Et ie mesmes fait elle feusse morte |se ne fust ce franc cheualier 	Et elle lor conte |comment sez amis auoit este ochis. et iou meisme eusse este ochise. |se ne fust cils frans cheualiers 	e ella les conto |como su amigo hera muerto |e dixo |yo mesma fuera muerta sino fuera por aqueste buen cauallero 	et elle leur compte |comment son amy auoit este occy/ |et moy mesmes eusse este occie |se ne feust ce franc cheualier 	et ele lor dit |et conte coment ueuir auecques li. |Si li en quierent et de ses amis auoit este ocis. au chastel |ou il trespasoient. Sire meismes fait ele eusse este morte : |Ce ne fust ciz frans cheualiers ci. 	ed ella lor disse |come suo amico era stato ucciso, |«ed io medesima, diss’ella, fosse stata morta, |se non fosse questo franco cavaliere 
183	qui par sa debonaireté me resqueust 	qui par sa debonairete ma rescousse.	qui par Sa debonairete ma rescousse. 	que me libro 	qui par sa debonnairete ma rescousse 	qui par sa debonairete et par sa franchisse marescosse des mains a mes anemis 	che per sua dibonarità mi riscosse, 
184	et se mist em peril de mort por ma vie sauver. » 	et sest mise on peril de mort |pour sauuer ma uie. 	et se mist en peril de mort pour moi sauuer. 	e se metio en peligro de muerte |Por me librar 	et sest mis en peril de mort |pour moy sauuer.	et se mist en peril de mort |por moi sauuer. 	si si misse in periglio di morte per mia vita salvare». 
						et se ne lauoie ie pas deserui. 	
						et diex doint 	
185	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	Et|lors conseille a lun 	Et lors conseilla elle a. j. de ses escuiers|Et cil destorse tout maintenant sa venison 	e luego destroçaron el vn corço |e pusieronlo enel Palafren 	Et lors elle parle a conseil a ung des escuiers et celui se destrousse maintenant de sa uenoison 	que ie li puisse guerredoner. |Lors conseille maintenant la damoisele a .i. des escuiers. 	Allor si consiglia con l’uno, |e quelli iscioglie immantanente sua cacciagione 
186	si la baille a son compaignon por porter, 	et cil baille sa uenoison a porter a son compaiguon. 	et le baille a porter a son compaignon 	e ymbiaronlo al castillo conel vn escudero |e pusieron ala donçella enel otro 	et la baille a porter a son compaignon 	et il destrore maintenant sa uenisson et la baille a lautre por portee 	e la dona a suo compagnone per portarnela, 
187	si s’en vet vers le chastel 	si sen uait uers le chastel 	et sen vait vers le castel 	e fueronse contrael castillo 	et sen ua uers le chasteau 	Si sen ua uers le chastel 	si se ne va inverso il castello 
188	quanqu’il puet traire del roncin. 	tant quil puet traire du roucin. 	quanque il pot del ronchi traire. 	quanto podian 	tant quil peut courir atout son roussin. 	quanque il puet de roncin traire 	quanto che può trarre del ronzino.
189	Et Boors demande a la damoisele 	Et boort demande a la damoisele 	Et bohors demande a la damoisele 	e boores pregunto ala donçella 	Et boort demande a la damoiselle 	et behors demande a la damoisele 	eE Boordo domanda alla damigella 
190|191	comment li chastials a non |ou ses amis a esté ocis. « Sire, fet ele, il a non Galedon 	coment le chasteau a nom |ou sen amy auoit este occis Sire fait elle il a nom galedon |et leue 	comment li castiaus auoit non |ou ses amis auoit este ochis. Sire fait elle il a a non Galdon:. 	como auia nombre el castillo Do su amigo auian muerto |señor dixo ella el a nombre Galdon |e el agua 	comment le chasteau auoit nom |ou son amy auoit este occy. Sire fait elle il a nen galdon/ 	comment li chastiax auoit non ou ses amis. auoit este ocis. Sire fait ele il a non Galedon. 	come il castello à nome |ove suo amico avea stato morto. |«Sire, disse ella, 
192	et l’eve par ou vos passastes a non Galede. » 	par ou nous passasmes |si a nom galede	Et laigue |ou vous passastes a a non Galide. 	que pasastes galide |Asi fueron fablando fasta el castillo 	et leaue ou uous passastes a nom galide. 	et leue par ou uos pasates a non banllete. 	egli à nome Badelon, |e l’acqua per dove passaste Galede». 
193	Ensi parolent tant 	Ainsi parlent 	Ensi sen vont parlant |tant 	Que hera muy fuerte 	Ainsi sen uont parlant ensemble boort et la damoiselle 	Ainsi parole tant 	aln parlando vanno tanto 
194|195	qu’il sont venu jusqu’al chastel,|si le voit Boors bien seant et fort. 	tant quilz sont uenuz iucquau chastel. |et boort le uoit moult fort et moult bien seant 	quil sont venu pres del chastel.|si le voient moult bel et moult fort et moult bien seant.	e muy bien asentado e desque fueron entrados enel castillo 	tant que ilz sont uenus prez du chasteau |si le uoient beau et fort et moult bien seant. 	que il sont uenu ducau chastel. Sire uoit beh̾ mout bel et mout bien sains. 	che sono venuti insino qua al castello, |si 'l vide Boordo molto forte e molto ben sedente. 
196|197	Et quant il montent ! le tertre, |si voient de laiens issir dames et damoiseles a grant plenté 	Et quant il ont monte le tertre |si uoyent yssir dames et damoiseles a grant plante. 	Et quant il furent monte le tertre. |si voient issir dames et damoiseles a grant plente 	luego vinieron contraellos muchas danças e corros de Dueñas e de donçellas 	Et quant ilz sont montez le tertre |si uirent dames et damoiselles a grant plante 	et quant il ont monte le tertre |si uoient issir de laiens dames et damoiseles grant plante 	E quand’e' mosntavano il poggio, |si ne vidono uscire dame e damigelle a gran quantità, 
198|199|200|201	dont les unes karolent |et les autres dancent |et les autres joent de divers geus; |si estoient acesmees et vestues richement et	dont les unes caroloient. |et les autres iouoient de diuers ieux. |si estoient toutes atournees |et uestues moult richement. 	dont lez vnes dansoient |et lez autres karoloient|et baloient et gieuent de diuers ius. |Si estoient toutes vestues trop richement. 	e otros dançaban e bailauan |e otros jugauan e façian juegos de muchas maneras e todos andauan vestidos muy Ricamente 	dent les unes dansoient et les autres deuisoient |et les autres iouoient de diuers ieux. |si estoient toutes uestues moult richement/ 	dont les unes dancent et les autre [...] |et [lulent]. et les autre iouent de diuers gex |si estoient totes acemees |et mout richement 	donde l’une ballavano |e l’altre giucavano di diversi giuochi, |si erano tutte acconce e vestite riccamente; 
202	avec venoient chevaliers jusqu’a X. 	et auec elles uenoient dix cheualiers 	Et auec elles venoient cheualier iussPtis elques a. X. 	entonçe vinieron contraellos 	et auec elles uenoient des cheualiers iusques a dix 	uestues.et auec elles uenoient cheualier iusqua .xx. 	Se con esso loro venieno cavalieri insino a cinque 
203	qui molt faisoient grant joie; 	qui moult faisoient grant ioye 	qui menoient la plus grant ioie. 	mas de diez caualleros faziendo muy gran [...] 	qui faisoient moult grant ioye. 	qui mout fassoient grant ioe. 	che molto feciono gran gioia
204|205	et quant il voient Boort, |si crient tuit encontre lui: « Bien viengniés, sire,	Et quant ilz uoyent boort |si uiennent tous enconttr luy |et dient bien ueignez sire |qui auez deliuree	et dient a bohort. Sire bien veignies vous soi tous lez hommes del monde. 	e deçian todos avna voz |vien venga el mejor cauallero 	Et quant ilz uirent boort |si lui crierent tous. Bien uiengniez uous 	et quant il uoient bohort |si crient tuit encontre lui bien uiengne li sires 	quand'e' vidono Boordo. vengono tutti incontro a-llui |e gli dicono: Ben vegniate, sire, 
206|207|208	qui nostre dame avez delivres de mort |et rescosse des mains a ses enemis !» |Et lors font descendre lor dame et lui avec : 	et rescousse noustre dame de mort et des mains de ses enuemys.|Et lors font descendre leur dame |et luy auec. 	qui nostre dame |aues rescousse de mort. et deliuree des mains a sez anemis. |Et lors font descendre la damoisele |et lui auekes 	que anuestra señora libro de muerte |e libro anos denuestros enemigos entonçe los desçendieron a muy gran gozo e alegria façiendo con boores 	qui nostre dame auez rescousse de mort et deliuree des mains de ses ennemis. |Et lors font descendre leur dame et lui auec. 	qui nostre dame a deliuree de mort |et rescousse des mains a ses anemis |et lors font dessendre lor dame et lui auec. 	che nostra dama avete dilivera di morte e riscossa delle mani di suoi animicib. |VAllora fanno discendere lor dama e lui apresso, 
209	si ne vos porroit nus conter la joie 	si ine uous pourroit nul compter la grant ioye 	si ne porroit nus conter la grant ioie 	asi que el se marauillaua ende mucho 	Si ne pourroit nul homme compter la grant ioye	Si ne uos porroit nus comper la ioie 	si non potrebbe mica l’uom contare la trasgran gioia 
210	qui li fu fete. A tel joie et a tel feste enmainent Boort jusqu’al palés del chastel, 	qui luy fu faicte A telle ioye |et a tel feste emmainent boort 	qui li fu faite EN tele ioie et en tele feste	e las Mesas fueron puestas 	qui leur fut faicte. A telle ioye menerent boort au pallais. |Et	qui li fu faite. A tel ioie |et a tal faite en mainnent beh̾. ducau palais dou chastel. 	che gli fu fatta. In tal gioia e in tale festa ne menarono Boordo insin qua il mastro palagio del castello, 
		iucquez au maistre palais du chastel 					
211|212	si le font desarmer, |ou il volsist ou non,	si le font desarmer uoulsist il ou non. 	com vous oliles enmenerent bohort en vne moult bele sale. 	e asentaronse a comer |ca mucho lo auian menester 	quant ilz eurent mengie la damoiselle lui demanda |comment il auoit nom.	Si le font desarmer uossist ou non. et il le fait mout enuiz. 	si l fanno disarmare |o volesse |O non, 
213|214|215|216|217	et il le fist a envis, |kar il n’estoit encore mie tens de herbergier. |Ensi remist Boors laiens, |si li firent grant joie li un et li autre |Et quant il orent mengié. a damoisele demande a Boort 	et il le fist a peine. |car il nestoit pas encor temps de herbreger. |Ainsi demeure boort leans. |si luy firent moult grand ioye les ungs et les autres |Et quant il eurent mange la damoisele luy demande 	et les tables furent mises |si alerent mangier. |Et quant il orent mangie. La damoisele demanda bohort 	e desque ovieron comido la donçella le pregunto |e dixo le |señor |si vos pluguiere querria saber vuestro nombre porque sepa dezir 	Et il respendist |quil auoit nom boort le essillie |et si estoit cousin germain de lancelot du lac. |Et uous dame 	Car il nestoit mie eure ne tans de herbregier. |ensi remest laiens |si li firont grant ioie |et li un et li autre. |Et quant il orrent mengie: la damoisele demande	ed elli il fece ad invidia, |ché nonn-era mica ancor tempo d’albergare. |Insi rimase Boordo là entro, |si gli feciono molto gran gioia e l’uno e l’altro. |eE quand’egli ebono mangiato a gran festa, la damigella domandò Boordo 
218|219|220	comment il avoit non ét ¡l dist |qu’il avoit non Boors li Essilliés. « |Et vos, fet il. damoisele, 	comment il auoit nom. |et il luy dist |que il auoit nom boort lessille |Et uous fait il damoisele 	comment il auoit non. |Et il li dist |quil auoit non bohors li escillies. |Et vous dame fait il 	quien me fiço tanto bien |donçella dixo boores |yo he nombre boores el deseredado |e vos donzella dixo el 	quel est uostre nom. Sire fait elle iay nom benigne de glacedon. |et ce chasteau cy 	comment il auoit non. |etil li dit. 	com'egli avea nome, |ed e' le risponde |ch’egli à nome Boordo il Diseritato. |E vo', diss’elli alla damigella, 
221	quels est li vostre nons ? — Sire, fet ele. je ai non Blevine de Glocedun, issi a non cist chastials ou nos somes. » A ces paroles 	quel est uostre nom. Sire fait elle iay nom blocedin. |Ainsi a nom ce chasteau 	comment est vostres nons. Sire fait elle iou ai a non benigne de Glochedon.|Et ensi a a non chis chastiaus. A ches paroles 	como auedes nombre |señor dixo la donçella yo he nombre velniña de glaçendo 	ou nous sommes a aussi nom glacedon. ces parolles 	et uos comment fait il damoisele Sire fait ele iai non uenyne de glocedras |ainsis a non li chastias ou nos somes A ses paroles 	com’è vostro nome? |— Sire, diss’ella, i' ò nome Blivina di Glocedin, 
							e nsì à nome questo castello 
							ove noi siamo». 
							A queste parole 
222	qu’il disoient, es vos I escuier 	ou nous somes. A ces paroles |quilz disoient uoyez uous ung escuier 	quil disoient es vous vn escuier 	que asi a nombre el castillo 	quilz disoient uecy ung escuyer 	que il dissoient euousa. escuer 	ch’elli dicieno, |ed e' vidono venire uno scudieri 
223	qui laiens entre,	qui entre leans. 	qui laiens entra. 	enque estamos 	qui entra leans 	qui laiens entre. 	che là entro venia, 
				Ellos ansi fablando llego vn escudero porla puerta 			
224	si s’agenoille devant la damoisele. « Dame, fet il, la damoisele de Honguefort vostre cosine vos salue 	et sagenoille deuant la damoisele. dame fait il madame la damoisele de hunguefort uoustre cousine uous salue 	si sagenoille deuant la damoisele et l dist. Dame : la dame de hongrefort vous salue. 	e finco los ynojos ante la donçella e dixole |señora la donçella de hongeforte vos ymbia a saludar 	si se agenoille de uant la damoiselle dame fait il madame de honguesfort uous sallue 	et sa genoille deuant la damoisele. Dame fait il madarne la damoisele De honguefort uostre cousine uous salue. 	si s’aginocchia davanti la damigella: «Dama, diss elli, mia dama la damigella di Unguelforte, vostra cugina, vo saluta 
225	et vos mande 	et uous mande 	et vous mande 	e ymbiavos deçir 	et uous mande	Et uous mande 	e vo manda 
226|227|228|229|230	qu’ele vient herbergier o vos. » |Et quant cele l’entent, |si saut sus si liee et si joiose |que nule plus |et demande al vaslet 	quelle uient et herbregera o uous |et quant elle lentend |si sault sus si liee et si ioyeuse |qui plus ne puet. |et demande au uarlet ou elle est. Dame fait 	que elle veult anuit herbergier o vous. |Et quant cele lentent |si saut sus. si ioieuse et si lie |que nulle plus.|Si demande a lescuier 	que esta noche ven conbusco albergar |e quando la donçella esto oyo fue muy alegre |e pregunto al escudero do era señora dixo el escudero 	que elle se ueult ennuyt logier auec uous. |Et quant celle lost|si demande a lescuyer 	que ele uient herbregrer o uus |Et quant cele lentant si saut sus |si lie et si ioeuse |com ele puet plus. et demande au uarlet 	ch’ella viene ad albergare con esso voi». |E quando quella lo ntende, |si salta suso si lieta e si gioliolsa |che nulla più, |e domanda al valletto 
231	ou ele est. « Dame. fet il, a mains de demie lieue pres de ci. » 	il elle est a demye lieue pres de cy 	ou elle est. Dame |ce dist cil a demie lieue pres de chi. 	yo la dexe a media legua de aqui 	ou elle est dame fait il a demye lieue de cy/ 	ou ele est. Dame fait il a mains de demi lieu pres de ci. 	ov'ella est. |«Dama, diss’elli, ella est a meza lega presso di qui». 
232|233	Et ele fet maintenant sa sele metre et dist |qu’ele ira encontre li; 	et elle fait adonc mectre la sele a dist |quelli yra encontre luy. 	Lors fait maintenant sa sele mettre et dist |que elle yra encontre li. 	e la donçella mando luego ensillar 	et elle mente sur son cheual auec quatre cheualiers et quatre escuyers 	et ele fait maintenant sa sele mestre.|et dit |que ele ira encomtre. 	Ed ella fa immantanente sua sella mettere |e disse |ch’ella andrà incontro a llei, 
234|235|236|237|238|239	si monte |et maine o li. VI. chevaliers |et Illl. en laisse |por fere compaignie a Boort ; |si se part atant de laiens. |Mes Boors 	Si monte et mainne o lie .u. cheualiers pour faire compaignie a boort. |et en laisse quatre. |si se part adonc de leans. |mais boort 	Si monte maintenant et vi. cheualier aueques li. et. iiij. escuiers. |Et si laisse auec bohort. iiij. cheualiers|por lui faire compaignie |et puis sen ist de laiens. |Et bohors	e fuese con seis caualleros ala rreçebir e dexo a boores con quatro caualleros |porle fazer conpaña |e quando boores sopo 	pour aller a lencontre de la dame |et si laisse quatre cheualiers |auec boort |pour luy faire compagnie mes boort 	Si monte et mainna .ui cheualiers auecques li. |et .iiii. en laisse |por faire compangnie a behͦ. si se part de laiens. entre li et sec cheualiers . |Mais beh̾.	si monta |e mena con lei v. cavalieri, |e quatro cavalieri d’agio lascia in compagnia di Boordo, |si si parte atanto di là entro. |Ma Boordo, 
240|241	qui les noveles a of̈es de cele de Honguefort |si ne set que fere, 	qui a ouy les nouueles de celle dunguefort ne seut que faire. 	qui lez noueles ot entendues de la dame de hongrefort, |ne set|que faire 	quela donçella de ongeforte venia no sabia que façer 	qui les nouuelles a entendues de la dane de honguesfort ne scait 	qui les noueles ot oiez de cele de honguefort ne set que	che lle novelle àe avute di quella d’Unguelforte, non sa |che fare, 
242	kar se il remaint laiens, ne puet estre 	car sil remaint leans il ne puet estre	quar bien set 		que faire 	faire.Car cil remaint laiens il ne puet estre 	ché se rimane là entro |e' non può essere
243|244	que l’en nel conoisse |et ce ne voldroit il por rien: 	quelle ne le cognoisse |et ce ne uoudroit elme pour nul rien.	que elle le connistra. |Et chou ne voldroit il pas. 	ca no queria aquelo conoçiese 	si pense longuement |car il ne ueult pas estre congneu et	que len ne le quenoisse. |et si ne uodroit ce por rien. 	ch’ella non lo cognosca: ciò non vorebbe elli per nulla cosa, 
245|246|247	si pense longuement a ceste chose. |Quant il ot une piece pensé, |si se drece en estant 	si pense longuement a ceste chose. |Quant il a grant piece sis en paix |si se die ce en estant 	si pense a cheste chose moult longement. |Et quant il ot pense |si se lieue en son estant 	si pudiese ser e penso asi enesto mucho 	quant il a longuement pen se |si se lieuue en son estant	Si se pance longuement ace. |et se dresce en estant a ce 	si pensa lungamente a questa cosa. |eQuand’egli à gran peza pensato, |si |si diriza in istanti 
248	et demande ses armes tost et isnel. « Sire, font cil 	et demande ses armes tost et isnel Sire font ceulx 	si demande sez armes. Sire font cil 	e a cabo de Pieça demando sus armas |señor dixeron los caualleros 	et demande ses armes. Sire sont ceulx 	et demande ses armes. tost et inel. Sire font cil 	e domanda sue armi tosto e snello. VaSire, dissono coloro 
